Feature,MeanAbsSHAP
dst_port,0.0221585249294728
bwd_pkt_len_std,0.017414965441068995
bwd_seg_size_avg,0.017020698489958977
bwd_pkt_len_mean,0.015906535752037824
totlen_bwd_pkts,0.015021605383422254
pkt_len_var,0.014669254046727895
pkt_size_avg,0.014569955165911632
pkt_len_max,0.014079634798541072
subflow_bwd_byts,0.013607567114502206
bwd_pkt_len_max,0.011513065715625779
init_bwd_win_byts,0.011470462217178089
fwd_pkt_len_max,0.01107853075810034
pkt_len_std,0.010657193513890469
pkt_len_mean,0.010624579067138267
psh_flag_cnt,0.008074297507072323
fwd_seg_size_avg,0.0072765708333609475
init_fwd_win_byts,0.0062377417719345
totlen_fwd_pkts,0.006101483054935546
subflow_fwd_byts,0.005959564173804206
bwd_header_len,0.005718696854656806
fwd_pkt_len_mean,0.005468660369783164
fwd_iat_std,0.005202722714627085
flow_pkts_s,0.004732015816337572
fwd_seg_size_min,0.004441597265595908
subflow_bwd_pkts,0.004335490181965407
fwd_header_len,0.004306201148855498
bwd_pkt_len_min,0.00429583399452939
bwd_pkts_s,0.004243006819632567
tot_fwd_pkts,0.004200195606878087
ack_flag_cnt,0.0041267276145296695
fwd_iat_max,0.004120412748008519
fwd_iat_tot,0.0034456075271748193
flow_iat_max,0.0032563666067967536
fwd_iat_mean,0.003201217859724901
subflow_fwd_pkts,0.0029764461626541733
fwd_iat_min,0.0026768463731896217
flow_iat_mean,0.0025537993810674045
tot_bwd_pkts,0.002377648991841029
pkt_len_min,0.0023231898596321747
flow_duration,0.002137645867204161
flow_iat_std,0.002115402439291184
idle_mean,0.001977576360932624
fwd_pkt_len_std,0.0019642374393419744
fin_flag_cnt,0.0017986041005748573
bwd_iat_tot,0.00172563954916687
idle_max,0.001698168446809127
bwd_iat_std,0.001653756332210134
flow_byts_s,0.001646786312931791
fwd_pkts_s,0.0016197236053633497
fwd_act_data_pkts,0.0014351635825379891
urg_flag_cnt,0.0012955330885133808
bwd_iat_max,0.001231639968090864
flow_iat_min,0.0012199655361146416
fwd_pkt_len_min,0.0011718967457592707
idle_min,0.0011501233151702153
bwd_iat_mean,0.0010195215945689319
bwd_iat_min,0.0009123562917731321
active_min,0.0007930403714631835
active_max,0.0006237986253871707
active_mean,0.0005552829558024255
down_up_ratio,0.00047956551410193067
active_std,0.00032334941332512164
syn_flag_cnt,0.00027182960305696213
fwd_psh_flags,0.0002402039370366059
idle_std,0.00013821664116043156
fwd_urg_flags,1.3481706320229095e-06
cwr_flag_count,7.649909800510047e-07
rst_flag_cnt,2.085952169453055e-07
ece_flag_cnt,9.491103174849574e-09
bwd_psh_flags,0.0
bwd_urg_flags,0.0
bwd_blk_rate_avg,0.0
bwd_pkts_b_avg,0.0
fwd_pkts_b_avg,0.0
fwd_byts_b_avg,0.0
bwd_byts_b_avg,0.0
fwd_blk_rate_avg,0.0
