Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9521183751190099,0.8700863826070077,0.8422511391929347,0.8559425202301101
Random Forest,0.9985698984449382,0.9964250014699829,0.9951026448066895,0.9957633841217983
