Test_Chunk,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Chunk_1,0.9986214693748017,0.9969907953740854,0.994818957904033,0.9959036925706539,0.999792578516586,0.9982229998585506
Chunk_2,0.9985817994287528,0.9960509253801721,0.9955228276877761,0.9957868065171916,0.9997904016521008,0.9979606789564751
Chunk_3,0.9984032846715328,0.9959884372603386,0.9945216776625825,0.9952545170513161,0.9997460987129816,0.9977792140030597
Chunk_4,0.998452872104094,0.9959907030796049,0.9949500812630602,0.9954701202160404,0.9997109543762575,0.9977070398851327
Chunk_5,0.9985718819422406,0.9960527866148227,0.9954663212435233,0.9957594675775958,0.9997431454481727,0.9977374612932213
