Feature,Importance
pkt_len_var,0.07083898772364164
bwd_seg_size_avg,0.06303192961076892
bwd_pkt_len_std,0.058258139340686015
bwd_pkt_len_mean,0.055034625191330296
pkt_len_std,0.04928748639684775
bwd_pkt_len_max,0.0459048409432572
pkt_size_avg,0.0415559169305849
totlen_bwd_pkts,0.03908944711260313
pkt_len_max,0.03407594404729842
pkt_len_mean,0.0329119696901687
dst_port,0.026903551030950688
fwd_iat_std,0.02585852051935893
tot_fwd_pkts,0.02089983465580152
subflow_fwd_byts,0.020859100309102718
fwd_iat_max,0.01980930518219721
subflow_bwd_byts,0.018611476557019283
fwd_header_len,0.01830301463585708
totlen_fwd_pkts,0.01698066899101704
subflow_fwd_pkts,0.01684263100157952
fwd_seg_size_min,0.016648244819762674
init_bwd_win_byts,0.01583854124390963
psh_flag_cnt,0.01571900468238886
bwd_header_len,0.015649580530779382
fwd_pkt_len_max,0.015539839126708983
flow_pkts_s,0.015523880951708138
fwd_seg_size_avg,0.013938308958892351
flow_iat_max,0.013908201192221342
fwd_iat_mean,0.013730629048570302
fwd_iat_tot,0.012690795212376937
init_fwd_win_byts,0.011895805936995544
fwd_iat_min,0.01182537594860892
fwd_pkt_len_mean,0.011796102812857834
flow_iat_std,0.011302289131237774
fwd_act_data_pkts,0.010765805971755315
bwd_pkts_s,0.010408595052539183
subflow_bwd_pkts,0.010359901523130271
tot_bwd_pkts,0.007649080502005389
ack_flag_cnt,0.007356001826476158
idle_mean,0.007323387724989525
flow_iat_mean,0.007218053151024898
flow_byts_s,0.0065871315407205555
bwd_pkt_len_min,0.005099167705202752
idle_max,0.00489841889937811
fwd_pkt_len_std,0.004767127085875968
flow_duration,0.004373965408189102
fwd_pkts_s,0.004315519373123547
flow_iat_min,0.0035829442014330927
fwd_pkt_len_min,0.0035357752714789943
bwd_iat_max,0.003131257193513902
urg_flag_cnt,0.0031281441284859587
active_mean,0.003037571700791485
pkt_len_min,0.0029669246966928407
active_max,0.0023091069224130617
bwd_iat_min,0.0022918196512537055
bwd_iat_tot,0.002181706052965106
fin_flag_cnt,0.002028193732518871
bwd_iat_std,0.0019786467764031784
active_min,0.001957235501791306
bwd_iat_mean,0.0016378129387062007
idle_min,0.0011061540903790255
active_std,0.001047202063421318
down_up_ratio,0.0007013293228093477
fwd_psh_flags,0.0005345767947422938
syn_flag_cnt,0.0004616357643421624
idle_std,0.00019084213134133683
cwr_flag_count,2.9044151199060754e-06
fwd_urg_flags,1.7222376850477375e-06
rst_flag_cnt,2.788538844750279e-07
ece_flag_cnt,7.032632697799934e-08
bwd_psh_flags,0.0
bwd_urg_flags,0.0
bwd_blk_rate_avg,0.0
bwd_pkts_b_avg,0.0
fwd_pkts_b_avg,0.0
fwd_byts_b_avg,0.0
bwd_byts_b_avg,0.0
fwd_blk_rate_avg,0.0
