Model,Accuracy,Precision,Recall,F1-Score,Training Time,ROC-AUC,PR-AUC
Random Forest (SMOTE),0.9985282450015868,0.9954217829220764,0.995866021515479,0.9956438526659387,574.5697410106659,0.9997349109942724,0.9976192310547272
Random Forest,0.9985024595366551,0.9964936638859146,0.9946328745243576,0.9955623997131723,350.27935433387756,0.9997752983236036,0.9980181334811568
Deep Learning,0.9839812757854649,0.9606043220501052,0.9438624512613332,0.9521597990664171,184.1809742450714,0.9986790829955516,0.9940050731208814
Logistic Regression,0.9570791018724214,0.8819171327199471,0.8611711373138535,0.871420677033507,125.38526177406311,0.9880176970742267,0.950728323336482
Logistic Regression (SMOTE),0.9409274833386226,0.7498285322359396,0.9757950862028468,0.8480169017534549,410.75059843063354,0.9883217470834876,0.9496344298009488
Isolation Forest,0.8481751824817518,0.5464930292877985,0.5938718466669799,0.5691982124967638,6.152991771697998,,
